A1 Nouns,A1 Verbs,A1 Adjectives,A1 Adverbs & Others,A2 Nouns,A2 Verbs,A2 Adjectives,A2 Adverbs & Others,B1 Nouns (Complete),B1 Verbs,B1 Adjectives,B1 Adverbs & Others,B2 Nouns,B2 Verbs,B2 Adjectives (A-Z)
cake,need,heavy,some,brush,consider,challenging,despite,answer,concentrate,challenging,despite,Appreciation,approach,asleep
call,open,high,somebody,building,consist,charming,directly,anxiety,conclude,charming,directly,Approach,appropriate,assertive
camera,paint,hot,someone,burn,contact,cheap,down,apartment,confirm,cheerful,down,Approval,approve,associated
car,pay,hungry,something,business,contain,cheerful,downstairs,apology,confuse,chemical,downstairs,Architecture,approximate,astonishing
card,play,important,sometimes,businessman,continue,chemical,during,appearance,connect,chief,during,Archive,arch,astronomical
carrot,practice,interesting,soon,businesswoman,control,chief,each,apple,consider,classic,each,Area,argue,atomic
cat,prefer,kind,still,button,cook,classic,early,application,consist,classical,early,Arena,arise,attached
CD,put,large,than,camp,copy,classical,easily,appointment,consume,clear,easily,Argument,arm,attainable
cent,read,last,that,camping,correct,clear,effectively,appreciation,contact,clever,effectively,Army,arouse,attractive
center,remember,late,then,canal,cost,clever,efficiently,approach,contain,close,efficiently,Arrangement,arrange,attributable
century,ride,left,there,capital,count,close,either,approval,contrast,closed,either,Array,arrest,audible
chair,run,light,through,captain,cover,closed,else,architect,convince,coastal,else,Arrest,arrive,authentic
change,say,little,together,car,create,coastal,elsewhere,architecture,cool,colored,elsewhere,Arrival,articulate,authoritative
chart,see,local,too,card,cross,colored,enough,area,copy,colorful,enough,Arrow,ascend,automated
cheese,sell,long,under,care,cry,colorful,equally,argument,count,comfortable,equally,Art,ask,automatic
chicken,send,loud,until,career,cut,comfortable,especially,arm,cover,commercial,especially,Article,aspire,autonomous
child,shall,lovely,up,case,cycle,common,even,army,create,common,even,Artifact,assault,available
chocolate,should,low,very,cash,damage,competitive,eventually,arrangement,cross,competitive,eventually,Artist,assemble,average
cinema,show,lucky,well,castle,dance,complete,ever,arrival,cry,complete,ever,Ash,assert,aware
city,sing,main,when,category,deal,complex,everywhere,art,cure,complex,everywhere,Aspect,assess,awful
class,sit,many,where,cause,decide,complicated,exactly,article,cycle,complicated,exactly,Assault,assign,awkward
classroom,sleep,modern,which,ceiling,define,confident,extremely,artist,damage,confident,extremely,Assembly,assist,babyish
clock,smile,narrow,who,celebration,deliver,confused,fairly,assistant,deal,confused,fairly,Assertion,associate,backward
clothes,speak,natural,why,ceremony,depend,confusing,far,association,decrease,confusing,far,Assessment,assume,bad
club,spell,near,with,chain,describe,conscious,fast,assumption,defeat,conscious,fast,Asset,assure,balanced
coat,spend,necessary,without,challenge,design,conservative,finally,athlete,defend,conservative,finally,Assignment,astonish,bald
coffee,start,new,yes,champion,destroy,considerable,first,atmosphere,define,considerable,first,Assistance,attach,bankrupt
cold,stay,next,yet,championship,develop,constant,firstly,attack,delay,constant,firstly,Assistant,attack,bare
college,stop,nice,,channel,die,contemporary,forever,attempt,deliver,contemporary,forever,Associate,attain,basic
color,study,normal,,chapter,differ,convenient,fortunately,attention,demand,convenient,fortunately,Association,attempt,beautiful
company,swim,old,,character,direct,cool,forward,attitude,demonstrate,cool,forward,Assumption,attend,beneficial
computer,take,open,,charge,discover,correct,frequently,attraction,deny,correct,frequently,Assurance,attract,benign
concert,talk,other,,charity,discuss,courageous,fully,audience,depend,courageous,fully,Astronaut,attribute,bent
conversation,teach,own,,check,divide,crazy,further,author,describe,crazy,further,Asylum,auction,best
cooking,tell,past,,chef,double,creative,furthermore,authority,design,creative,furthermore,Athlete,audit,better
cost,thank,perfect,,chemistry,doubt,critical,gently,average,destroy,critical,gently,Atmosphere,augment,biased
country,think,personal,,chest,download,crowded,gradually,award,determine,crowded,gradually,Attachment,authorize,big
course,travel,pink,,chicken,draw,cruel,hardly,baby,develop,cruel,hardly,Attack,automate,bilingual
cousin,try,plastic,,choice,dream,cultural,here,back,dial,cultural,here,Attainment,avoid,binding
cow,turn,pleasant,,church,dress,curious,highly,background,direct,curious,highly,Attempt,await,biological
cream,understand,polite,,cigarette,drink,curly,honestly,baggage,disagree,curly,honestly,Attendance,award,bitter
culture,use,poor,,circle,drive,current,hope,bake,discover,current,hope,Attention,back,bizarre
cup,visit,popular,,cleaning,drop,daily,hopefully,balance,dislike,daily,hopefully,Attitude,baffle,black
customer,wait,possible,,clerk,dry,damaged,how,ball,divide,damaged,how,Attorney,bag,bland
dad,walk,pretty,,climate,earn,dangerous,however,ban,donate,dangerous,however,Attraction,bail,blank
dance,want,proud,,climb,eat,dark,immediately,band,double,dark,immediately,Attribute,bait,bleak
dancer,wash,quick,,climbing,edit,dead,increasingly,bank,doubt,dead,increasingly,Auction,bake,blind
dancing,watch,quiet,,coach,educate,deaf,indeed,bar,drag,deaf,indeed,Audience,balance,blonde
date,wear,ready,,coal,elect,dear,indoors,barrier,dress,dear,indoors,Audit,ban,bloody
daughter,will,real,,coast,emphasize,decent,inevitably,base,drop,decent,inevitably,Audition,bandage,blue
day,win,red,,code,employ,deep,inside,baseball,earn,deep,inside,Auditor,bang,blunt
December,work,rich,,coffee,empty,definite,instead,basic,edit,definite,instead,Author,banish,bold
description,write,right,,collection,encourage,delighted,instead of,basket,educate,delighted,instead of,Authority,bank,bored
design,,round,,column,end,demanding,just,bath,elect,demanding,just,Authorization,bankrupt,boring
desk,,sad,,comedy,enjoy,depressed,kindly,bathroom,emphasize,depressed,kindly,Authorship,bar,bottom
detail,,safe,,comfort,enter,depressing,largely,battery,employ,depressing,largely,Auto,bargain,boundless
dialogue,,same,,comment,escape,desirable,last,battle,empty,desirable,last,Autonomy,bark,brave
dictionary,,several,,communication,examine,detailed,lately,beach,encourage,detailed,lately,Availability,base,brief
diet,,short,,competition,excite,determined,later,bean,end,determined,later,Avenue,bat,bright
difference,,shy,,competitor,excuse,different,least,bear,enjoy,different,least,Average,batter,brilliant
dinner,,sick,,complaint,exercise,difficult,less,beard,entertain,difficult,less,Award,battle,broad
dish,,silent,,computer,exist,digital,likely,beat,escape,digital,likely,Awareness,beam,broken
doctor,,simple,,condition,expect,direct,little,beauty,establish,direct,little,Axis,bear,brown
dog,,single,,conference,experience,dirty,locally,bed,estimate,dirty,locally,Bachelor,beat,brutal
dollar,,slow,,connection,explain,disappointed,long,bedroom,examine,disappointed,long,Back,beautify,bulky
door,,small,,construction,explore,disappointing,loud,bee,exchange,disappointing,loud,Backing,become,buoyant
dress,,soft,,content,express,distant,luckily,beef,excite,distant,luckily,Backup,beg,burning
drink,,some,,context,extend,distinct,mainly,beer,excuse,distinct,mainly,Bacon,begin,busy
driver,,sorry,,continent,face,domestic,maybe,beginning,exercise,domestic,maybe,Badge,behave,calm
DVD,,special,,contract,fail,double,merely,behavior,exhibit,double,merely,Baggage,behold,candid
ear,,strange,,control,fall,dramatic,more,belief,exist,dramatic,more,Bail,believe,capable
east,,strong,,cook,fear,dressed,moreover,bell,expand,dressed,moreover,Balance,belong,capital
egg,,sudden,,cooker,feed,drunk,most,belt,expect,drunk,most,Ballet,bend,careful
eight,,sugar,,copy,feel,dry,mostly,benefit,experience,dry,mostly,Balloon,benefit,careless
eighteen,,sure,,corner,fight,dull,much,bicycle,experiment,dull,much,Ballot,bequeath,casual
eighty,,sweet,,correction,fill,eager,naturally,bike,explain,eager,naturally,Ban,besiege,categorical
elephant,,tall,,count,find,early,near,bill,explore,early,near,Banker,bestow,catholic
eleven,,terrible,,country,finish,eastern,nearly,biology,export,eastern,nearly,Banking,betray,causal
email,,thick,,countryside,fish,easy,necessarily,bird,express,easy,necessarily,Bankruptcy,better,cautious
end,,thin,,couple,fit,economic,neither,birth,extend,economic,neither,Banner,beware,central
euro,,thirsty,,courage,fix,educated,never,birthday,face,economical,never,Bar,bewilder,certain
evening,,tight,,course,fly,educational,next,biscuit,fail,educated,next,Bare,bias,challenging
event,,tired,,court,focus,effective,nicely,bit,fancy,educational,nicely,Bargain,bid,chaotic
exam,,TRUE,,cousin,fold,efficient,no,bite,fasten,effective,no,Barrier,bind,characteristic
example,,typical,,cover,follow,elderly,nor,blame,fear,efficient,nor,Base,bite,charming
exercise,,ugly,,cream,forbid,electric,normally,block,feature,elderly,normally,Basement,blame,cheap
eye,,useful,,creation,force,electrical,not,blood,feed,electric,not,Basis,blast,cheerful
face,,warm,,credit,forget,electronic,now,blouse,fetch,electrical,now,Basket,blaze,chemical
fact,,weak,,crew,forgive,elegant,nowadays,board,fight,electronic,nowadays,Bass,bleach,chief
fall,,well,,crime,form,elementary,nowhere,boat,figure,elegant,nowhere,Bat,bleed,childish
family,,wet,,criminal,freeze,embarrassed,obviously,body,file,elementary,obviously,Batch,blend,chilly
farm,,white,,crowd,frighten,embarrassing,occasionally,bomb,fill,embarrassed,occasionally,Battery,bless,chronic
farmer,,wide,,culture,gain,emotional,off,bone,finance,embarrassing,off,Battle,blind,circular
father,,wild,,cup,gather,empty,often,book,fit,emotional,often,Bay,blink,civic
favorite,,wise,,currency,get,engaged,on,boot,fix,empty,on,Beach,block,civil
February,,wonderful,,curtain,give,enjoyable,once,border,flash,engaged,once,Beam,bloom,civilized
feeling,,wrong,,custom,go,enormous,only,boss,float,enjoyable,only,Bean,blossom,classic
festival,,yellow,,customer,govern,entertaining,onto,bottle,flood,enormous,onto,Bear,blot,classical
fifteen,,young,,cycle,graduate,enthusiastic,opposite,bottom,focus,entertaining,opposite,Beard,blow,clean
fifth,,,,cycling,greet,entire,out,bowl,fold,enthusiastic,out,Bearing,blue,clear
fifty,,,,damage,grow,environmental,outdoors,box,follow,entire,outdoors,Beast,bluff,clever
film,,,,danger,guess,equal,outside,boy,force,environmental,outside,Beat,board,clinical
final,,,,data,guide,equivalent,over,boyfriend,forecast,equal,over,Beauty,boast,close
fire,,,,deaf,handle,essential,overall,brain,form,equivalent,overall,Bed,boil,closed
fish,,,,death,hang,even,particularly,brand,found,essential,particularly,Beef,bolt,cloudy
flight,,,,decision,happen,everyday,perfectly,bread,freeze,even,perfectly,Beer,bomb,clumsy
floor,,,,degree,hate,exact,perhaps,break,frighten,everyday,perhaps,Beggar,bond,coarse
flower,,,,delivery,have,excellent,personally,breakfast,gain,exact,personally,Beginner,book,coastal
food,,,,dentist,head,excited,please,breast,gather,excellent,please,Beginning,boom,cognitive
foot,,,,department,heal,exciting,possibly,breath,generate,excited,possibly,Behalf,boost,coherent
football,,,,departure,hear,exotic,potentially,bridge,govern,exciting,potentially,Behavior,boot,cold
form,,,,depth,heat,expensive,previously,brightness,grab,exotic,previously,Being,border,collective
four,,,,desert,help,experienced,primarily,brilliant,graduate,expensive,primarily,Belief,bore,colonial
fourteen,,,,designer,hide,expert,probably,broad,greet,experienced,probably,Bell,borrow,colorful
fourth,,,,desk,hire,external,properly,broadcast,guarantee,expert,properly,Belly,bother,colossal
Friday,,,,destination,hit,extra,purely,brother,guess,external,purely,Belongings,bottle,combined
friend,,,,detail,hold,extraordinary,quite,brush,guide,extra,quite,Belt,bottom,comfortable
front,,,,development,hope,extreme,rarely,budget,handle,extraordinary,rarely,Bench,bounce,comic
fruit,,,,device,hunt,fair,rather,build,hang,extreme,rather,Benchmark,bound,commercial
fun,,,,diary,hurry,FALSE,readily,building,head,fair,readily,Bend,bow,committed
future,,,,dictionary,identify,familiar,really,bunch,heat,FALSE,really,Beneficiary,bowl,common
game,,,,diet,ignore,fancy,reasonably,burden,hide,familiar,reasonably,Benefit,box,communal
garden,,,,difference,imagine,fantastic,recently,burn,highlight,fancy,recently,Bequest,boycott,compact
geography,,,,difficulty,improve,far,regularly,bus,hire,fantastic,regularly,Berry,brace,comparable
girl,,,,direction,include,fascinating,relatively,business,hit,far,relatively,Beside,brag,comparative
girlfriend,,,,director,increase,fashionable,right,businessman,hold,fascinating,right,Bet,brake,compassionate
glass,,,,dirt,indicate,fast,roughly,businesswoman,hope,fashionable,roughly,Bias,branch,compatible
goodbye,,,,disadvantage,influence,fat,sadly,butter,host,fast,sadly,Bible,brand,compelling
grandfather,,,,disaster,inform,favorite,safely,button,hunt,fat,safely,Bibliography,brave,competent
grandmother,,,,disc,inject,federal,scarcely,buy,hurry,favorite,scarcely,Bicycle,breach,competitive
grandparent,,,,discovery,injure,fellow,seriously,buyer,identify,federal,seriously,Bid,break,complementary
green,,,,discussion,insist,female,severely,cabinet,ignore,fellow,severely,Bike,breakfast,complete
grey,,,,disease,install,few,shortly,cable,illustrate,female,shortly,Bill,breathe,complex
group,,,,dish,intend,final,significantly,cake,imagine,few,significantly,Bin,breed,complimentary
guess,,,,distance,interest,financial,similarly,calculator,imply,final,similarly,Binary,bribe,comprehensive
guitar,,,,district,interrupt,fine,simply,calendar,import,financial,simply,Binding,bridge,compulsory
gym,,,,document,introduce,firm,since,call,improve,fine,since,Biography,brief,concave
hair,,,,double,invent,fit,slightly,camel,include,firm,slightly,Biology,brighten,concentrated
half,,,,doubt,invite,fixed,slowly,camera,increase,fit,slowly,Biotechnology,bring,conceptual
hand,,,,download,involve,flat,so,camp,indicate,fixed,so,Bird,broadcast,concerned
hat,,,,drama,iron,flexible,some,campaign,influence,flat,some,Birth,broaden,concise
head,,,,drawer,issue,following,somehow,camping,inform,flexible,somehow,Birthday,browse,conclusive
health,,,,drawing,join,fond,sometimes,canal,inject,following,sometimes,Bishop,bruise,concrete
hello,,,,dream,joke,foreign,somewhat,cancer,injure,fond,somewhat,Bit,brush,conditional
help,,,,dress,judge,formal,somewhere,candidate,insist,foreign,somewhere,Bitch,bubble,confident
history,,,,drink,jump,former,soon,candle,install,formal,soon,Bite,buck,confidential
hobby,,,,drive,keep,fortunate,specifically,candy,intend,former,specifically,Black,bucket,confined
holiday,,,,driver,kick,forward,still,cap,interest,fortunate,still,Blade,buckle,confirmed
home,,,,driving,kill,free,strongly,capacity,interpret,forward,strongly,Blame,bud,conflicting
homework,,,,drop,kiss,freezing,successfully,capital,interrupt,free,successfully,Blank,budget,conformist
horse,,,,drug,knock,frequent,suddenly,captain,interview,freezing,suddenly,Blanket,build,confused
hospital,,,,drum,know,fresh,supposedly,car,introduce,frequent,supposedly,Blast,bulge,confusing
hour,,,,duty,label,friendly,surely,card,invest,fresh,surely,Blessing,bully,congenial
house,,,,ear,last,frightened,then,care,investigate,friendly,then,Blind,bump,congenital
hundred,,,,earth,laugh,frightening,there,career,invite,frightened,there,Block,bunch,conscientious
husband,,,,earthquake,lay,front,therefore,carpet,involve,frightening,therefore,Blockade,bundle,conscious
ice,,,,economy,lead,frozen,through,carrot,iron,front,through,Blood,burden,consecutive
ice cream,,,,edge,learn,full,throughout,case,issue,frozen,throughout,Bloom,burn,consensual
idea,,,,education,leave,full-time,thus,cash,join,full,thus,Blossom,burrow,conservative
information,,,,effect,lend,fun,together,castle,joke,full-time,together,Blow,burst,considerable
interest,,,,effort,let,fundamental,tomorrow,cat,judge,fun,tomorrow,Blue,bury,consistent
internet,,,,election,lie,funny,tonight,category,jump,fundamental,tonight,Board,bus,conspicuous
interview,,,,electricity,lift,further,too,cause,justify,funny,too,Boast,busy,constant
island,,,,electronics,light,future,totally,ceiling,kick,further,totally,Boat,butter,constitutional
jacket,,,,element,like,general,truly,celebration,kiss,future,truly,Body,button,constructive
January,,,,elevator,limit,generous,twice,cell,knock,general,twice,Boil,buy,contemporary
jeans,,,,emergency,link,gentle,typically,phone,label,generous,typically,Bold,buzz,contemptuous
job,,,,employer,list,genuine,ultimately,ceremony,lack,gentle,ultimately,Bomb,bypass,content
juice,,,,employment,listen,giant,under,chain,last,genuine,under,Bomber,calculate,continental
July,,,,energy,live,glad,unfortunately,chair,laugh,giant,unfortunately,Bombing,call,continual
June,,,,engine,load,global,until,chairman,launch,glad,until,Bond,calm,continuous
key,,,,engineer,lock,glorious,up,challenge,lay,global,up,Bone,camp,controversial
kind,,,,engineering,look,gold,upstairs,champion,lead,glorious,upstairs,Bonus,campaign,convenient
kitchen,,,,enjoyment,lose,golden,upwards,championship,lean,gold,upwards,Book,cancel,conventional
land,,,,entrance,love,good-looking,usually,chance,lend,golden,usually,Booking,cap,conversational
language,,,,entry,low,gorgeous,very,change,level,good-looking,very,Boom,capitalize,converted
left,,,,environment,mail,grateful,virtually,channel,lie,gorgeous,virtually,Boost,capture,convinced
leg,,,,equipment,main,great,well,chapter,lift,grateful,well,Boot,care,convincing
lesson,,,,error,maintain,green,whenever,character,light,great,whenever,Booth,caress,cool
letter,,,,essay,make,grey,wherever,characteristic,limit,green,wherever,Border,carry,cooperative
library,,,,evening,manage,gross,widely,charge,link,grey,widely,Bore,cart,coordinated
life,,,,event,mark,guilty,within,charity,list,gross,within,Borrowing,carve,corporate
light,,,,exam,marry,habitual,without,chart,load,guilty,without,Boss,case,correct
line,,,,examination,match,half,worse,chase,lock,habitual,worse,Bottle,cash,correlative
lion,,,,exchange,matter,handsome,worst,chat,look,half,worst,Bottom,cast,corrupt
list,,,,excitement,may,handy,yet,check,low,handsome,yet,Bounce,catalog,cosmetic
love,,,,exhibition,mean,happy,,cheek,lower,handy,,Bound,catalyze,costly
lunch,,,,exit,measure,hard,,cheese,maintain,happy,,Boundary,catch,courageous
machine,,,,experience,meet,harmful,,chef,manage,hard,,Bounty,categorize,courteous
magazine,,,,experiment,mention,healthy,,chemical,mark,harmful,,Bouquet,cater,cowardly
man,,,,expert,mind,heavy,,chemist,marry,healthy,,Bow,cause,cozy
map,,,,explanation,miss,helpful,,chemistry,match,heavy,,Bowl,caution,crazy
March,,,,expression,mix,helpless,,chest,matter,helpful,,Box,cave,creative
market,,,,extreme,move,hidden,,chicken,measure,helpless,,Boy,cease,credible
May,,,,eye,murder,high,,chief,mention,hidden,,Boycott,celebrate,creepy
meal,,,,face,must,hilarious,,child,mind,high,,Bra,cement,criminal
meat,,,,fact,name,historic,,childhood,miss,hilarious,,Bracelet,censor,critical
message,,,,factor,need,historical,,chin,mix,historic,,Bracket,center,crooked
milk,,,,factory,note,hollow,,chip,move,historical,,Brain,centralize,crowded
million,,,,failure,notice,holy,,chocolate,murder,hollow,,Brake,certify,crucial
minute,,,,fair,number,home,,choice,name,holy,,Branch,chain,crude
mirror,,,,fan,obey,homeless,,church,need,home,,Brand,chair,cruel
mistake,,,,farm,object,honest,,cigarette,note,homeless,,Brass,challenge,cryptic
model,,,,farming,obtain,hopeful,,cinema,notice,honest,,Breach,champion,cultural
moment,,,,fashion,occur,hopeless,,circle,number,hopeful,,Bread,change,cumulative
Monday,,,,fear,offer,horizontal,,citizen,object,hopeless,,Breadth,channel,curious
money,,,,feature,open,horrible,,city,observe,horizontal,,Break,characterize,current
month,,,,feeling,operate,hot,,claim,obtain,horrible,,Breakdown,charge,cursive
morning,,,,female,order,huge,,class,occur,hot,,Breakfast,charm,customary
mother,,,,fiction,organize,human,,classic,offer,huge,,Breast,chart,cute
mountain,,,,field,ought,humorous,,classroom,operate,human,,Breath,charter,cynical
mouse,,,,fight,out,hungry,,clerk,order,humorous,,Breathing,chase,daily
mouth,,,,figure,over,ideal,,client,organize,hungry,,Breed,chat,damaged
movie,,,,film,own,identical,,climate,outline,ideal,,Breeding,chatter,damaging
museum,,,,final,pack,idle,,climb,overcome,identical,,Breeze,cheat,damp
music,,,,finance,paint,ill,,climbing,owe,idle,,Brick,check,dangerous
name,,,,finding,park,illegal,,clinic,own,ill,,Bride,cheer,dark
nationality,,,,finger,part,imaginary,,clock,pack,illegal,,Bridge,cherish,dead
nature,,,,finish,pass,immediate,,close,paint,imaginary,,Brief,chew,deadly
neighbor,,,,fire,pay,impatient,,cloth,park,immediate,,Briefing,chill,deaf
network,,,,firm,perform,imperial,,clothes,participate,impatient,,Brigade,chip,dear
news,,,,fishing,permit,important,,clothing,pass,imperial,,Brilliance,choke,decent
newspaper,,,,fitness,persuade,impossible,,cloud,perform,important,,Brim,choose,deceptive
night,,,,flag,phone,impressed,,club,permit,impossible,,Broadcasting,chop,decimal
nine,,,,flight,photograph,impressive,,coach,persuade,impressed,,Brochure,chronicle,decisive
nineteen,,,,flood,pick,inappropriate,,coal,phone,impressive,,Broker,chuckle,deep
ninety,,,,floor,picture,incredible,,coast,photograph,inappropriate,,Bronze,circle,defensive
north,,,,flow,place,independent,,coat,pick,incredible,,Brook,circulate,defiant
nose,,,,flower,plan,individual,,code,picture,independent,,Brother,cite,definite
note,,,,focus,plant,indoor,,coffee,place,individual,,Brow,civilize,definitive
notebook,,,,fog,play,industrial,,coin,plan,indoor,,Brown,claim,deliberate
November,,,,fold,point,inevitable,,cold,plant,industrial,,Browse,clap,delicate
number,,,,folk,post,inexpensive,,collapse,point,inevitable,,Bruise,clarify,delicious
object,,,,food,pour,infectious,,collection,post,inexpensive,,Brush,clash,delighted
October,,,,foot,practice,inferior,,collector,pour,infectious,,Bubble,clasp,delightful
office,,,,football,praise,informal,,college,practice,inferior,,Bucket,classify,democratic
oil,,,,force,pray,initial,,color,praise,informal,,Buckle,clean,demographic
one,,,,forest,predict,injured,,column,pray,initial,,Budget,cleanse,dense
onion,,,,fork,prefer,inner,,combination,predict,injured,,Buffet,clear,dental
orange,,,,form,prepare,innocent,,comedy,prefer,inner,,Bug,click,dependent
order,,,,frame,present,innovative,,comfort,prepare,innocent,,Build,climb,depressing
page,,,,freeze,press,inside,,command,present,innovative,,Builder,cling,depressed
paint,,,,fridge,prevent,instant,,comment,press,inside,,Building,clip,descriptive
painting,,,,friend,print,instrumental,,commerce,prevent,instant,,Bulk,close,deserted
paper,,,,friendship,produce,intellectual,,commercial,print,instrumental,,Bullet,closet,desirable
